stage_num	idx	row	column	block_type	color	dir
1	1	0	1	10	4	2
1	2	0	2	10	4	2
1	3	1	0	10	1	4
1	4	1	1	1	4	1
1	5	1	2	1	1	3
1	6	1	3	10	2	3
1	7	2	0	10	1	4
1	8	2	1	1	2	3
1	9	2	2	1	4	1
1	10	2	3	10	2	3
1	11	3	0	10	1	4
1	12	3	1	1	4	1
1	13	3	2	1	1	3
1	14	3	3	10	2	3
1	15	4	1	10	5	1
1	16	4	2	10	5	1
2	17	0	1	10	4	2
2	18	0	2	10	1	2
2	19	0	3	10	2	2
2	20	1	0	10	2	4
2	21	1	1	1	1	4
2	22	1	2	1	1	4
2	23	1	3	1	4	2
2	24	1	4	10	1	3
2	25	2	0	10	1	4
2	26	2	1	1	4	2
2	27	2	2	1	2	2
2	28	2	3	1	1	4
2	29	2	4	10	4	3
2	30	3	0	10	1	4
2	31	3	1	1	1	4
2	32	3	2	1	1	4
2	33	3	3	1	4	1
2	34	3	4	10	2	3
2	35	4	0	10	1	4
2	36	4	1	1	1	4
2	37	4	2	1	1	4
2	38	4	3	1	4	1
2	39	4	4	10	2	3
2	40	5	1	10	2	1
2	41	5	2	10	2	1
2	42	5	3	10	4	1
3	43	0	1	10	4	2
3	44	0	2	10	1	2
3	45	0	3	10	1	2
3	46	0	4	10	2	2
3	47	1	0	10	1	4
3	48	1	1	1	4	1
3	49	1	2	2	5	1
3	50	1	3	1	1	3
3	51	1	4	1	5	3
3	52	1	5	10	5	3
3	53	2	0	10	4	4
3	54	2	1	1	5	3
3	55	2	3	1	1	1
3	56	2	4	2	2	1
3	57	2	5	10	5	3
3	58	3	0	10	2	4
3	59	3	1	1	4	1
3	60	3	2	3	2	3
3	61	3	5	10	4	3
3	62	4	0	10	5	4
3	63	4	1	3	5	3
3	64	4	3	1	1	1
3	65	4	4	1	5	3
3	66	4	5	10	2	3
3	67	5	1	10	1	1
3	68	5	2	10	5	1
3	69	5	3	10	4	1
3	70	5	4	10	2	1
4	71	0	1	10	5	2
4	72	0	2	10	1	2
4	73	0	3	10	5	2
4	74	0	4	10	1	2
4	75	1	0	10	4	4
4	76	1	1	1	5	1
4	77	1	2	1	4	3
4	78	1	3	2	5	1
4	79	1	4	1	1	3
4	80	1	5	10	1	3
4	81	2	0	10	1	4
4	82	2	1	2	1	1
4	83	2	2	1	1	3
4	84	2	4	1	2	3
4	85	2	5	10	2	3
4	86	3	0	10	4	4
4	87	3	2	3	4	3
4	88	3	4	1	1	1
4	89	3	5	10	2	3
4	90	4	0	10	4	4
4	91	4	1	1	4	3
4	92	4	2	2	2	1
4	93	4	3	1	5	1
4	94	4	4	1	5	3
4	95	4	5	10	5	3
4	96	5	0	10	2	4
4	97	5	1	1	2	3
4	98	5	3	1	4	3
4	99	5	4	1	1	1
4	100	5	5	10	4	3
4	101	6	1	10	1	1
4	102	6	2	10	2	1
4	103	6	3	10	5	1
4	104	6	4	10	1	1
5	106	0	2	11	4	2
5	107	1	0	10	1	4
5	108	1	1	4	4	1
5	110	1	3	10	2	3
5	111	2	0	10	1	4
5	114	2	3	10	2	3
5	115	3	0	10	1	4
5	116	3	1	3	5	2
5	118	3	3	10	2	3
5	119	4	1	11	5	1
6	120	0	1	10	4	2
6	121	0	2	10	6	2
6	122	0	3	10	5	2
6	123	1	0	10	1	4
6	124	2	0	10	1	4
6	125	3	0	10	6	4
6	126	1	4	10	5	3
6	127	2	4	10	5	3
6	128	3	4	10	3	3
6	129	4	1	11	4	1
6	131	4	3	10	5	1
6	133	1	1	4	4	1
6	135	1	3	1	1	3
6	137	2	3	1	1	3
6	139	3	1	1	6	3
6	141	3	2	3	3	3
